QC-1,QC-2,QC-3,QC-4,QC-5,QC-6,QC-7,QC-8
52264,33344,28385,28427,24586,41711,31070,36156
375635,426581,275074,302060,354592,257814,339345,296871
1211319,1325509,1461919,1405970,1652941,1453586,1593499,1482364
84415,72551,65755,74921,72586,70467,76730,70426
51059,50110,51896,50874,48377,47074,47669,47763
184139,194812,189527,211883,225686,232253,238891,205984
1537275,1674090,913662,167772,29404,137999,27826,102075
105281,93549,91600,113563,105838,117386,99279,86347
438427,471078,518940,427301,447861,468514,464447,407738
1236207,1973640,1547212,1704867,1284211,1882135,1299197,1626850
179960,184226,173054,173419,179462,158410,184527,151122
452870,475790,524244,466734,334368,463419,501412,255113
66336,62113,68287,70741,77118,67194,78814,64750
737163,693614,669978,820271,558038,274268,346981,186831
1676404,1505791,1231842,796119,890467,1004345,991914,1189566
933720,950060,873746,869907,760645,896845,835984,822670
665067,599046,542057,468656,469952,445654,519049,447241
2490344,2638491,2546416,2386230,2522998,2571900,2499880,2347050
364817,181440,247711,275681,301360,43314,176859,51554
276762,277369,317275,318502,302108,341518,271993,304305
132092,117630,131970,128631,108146,116613,121436,115988
64197,68012,22724,59736,20652,28792,65076,52790
7082772,8213362,7471132,6851132,6923743,6851069,7040673,6402969
